Feature name	Note	Registry ID	GRACEv2 Plate	GRACEv2 Position	No_DOX_score	DOX_score	Essential_verdict
C1_04510W_A		GELC0501	Plate 05	C03	0	0	NE
C1_04560W_A		GELC0502	Plate 05	C04	0	0	NE
C4_03160C_A		GELC0503	Plate 05	C05	0	0	NE
C4_06820C_A		GELC0504	Plate 05	C06	0	0	NE
C4_04730W_A		GELC0505	Plate 05	C07	0	0.333333333	GD
C3_04530C_A		GELC0506	Plate 05	C08	0	0	NE
C1_12130C_A		GELC0508	Plate 05	C09	0	0	NE
CR_02640W_A		GELC0509	Plate 05	C10	0.333333333	0	NE
C1_13640W_A		GELC0512	Plate 05	C11	0	0	NE
C3_07860C_A		GELC0513	Plate 05	C12	0	0	NE
CR_03890W_A		GELC0514	Plate 05	D01	0	0.166666667	GD
C5_01810W_A		GELC0515	Plate 05	D02	0	0	NE
C3_06790W_A		GELC0516	Plate 05	D03	0	0	NE
C1_10570C_A		GELC0517	Plate 05	D04	0	0	NE
C4_05700W_A		GELC0519	Plate 05	D05	0	0.166666667	GD
C1_01860W_A		GELC0523	Plate 05	D06	0	0.166666667	GD
C1_05140W_A		GELC0524	Plate 05	D07	0.375	0.625	GD
C1_06130C_A		GELC0525	Plate 05	D08	0	0.166666667	GD
C1_06280C_A		GELC0526	Plate 05	D09	0	0	NE
C1_07670W_A		GELC0527	Plate 05	D10	0	0.166666667	GD
C1_08940C_A		GELC0528	Plate 05	D11	0	0	NE
C1_09380W_A		GELC0529	Plate 05	D12	0	0	NE
C1_11520C_A		GELC0530	Plate 05	E01	0	0	NE
C1_11690W_A		GELC0531	Plate 05	E02	0	0	NE
C1_13960W_A		GELC0533	Plate 05	E03	0	0.166666667	GD
C2_01700C_A		GELC0535	Plate 05	E04	0	0.166666667	GD
C2_05640W_A		GELC0536	Plate 05	E05	0	0.166666667	GD
C2_10660W_A		GELC0538	Plate 05	E06	0	0.5	GD
C3_00750W_A		GELC0539	Plate 05	E07	0.166666667	0	NE
C3_02220W_A		GELC0540	Plate 05	E08	0.333333333	0	NE
C3_05170W_A		GELC0541	Plate 05	E09	0	0	NE
C3_07560W_A		GELC0542	Plate 05	E10	0	0	NE
C3_07790W_A		GELC0543	Plate 05	E11	0	0.333333333	GD
C6_04350C_A		GELC0544	Plate 05	E12	0	0	NE
C4_04850C_A		GELC0545	Plate 05	F01	0	0	NE
C6_03400C_A		GELC0547	Plate 05	F02	0	0.25	GD
CR_10650W_A		GELC0548	Plate 05	F03	0	0.6	GD
